SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-12-2019,Condo/Co-op,481 Clementina St Unit C,San Francisco,CA,94103,945000,2,2.0,South of Market,836,2430,1912,35,1130,450,Sold,,,http://www.redfin.com/CA/San-Francisco/481-Clementina-St-94103/unit-C/home/17305792,San Francisco MLS,481722,N,Y,37.7792238,-122.4055125
PAST SALE,April-23-2019,Condo/Co-op,601 4th St #121,San Francisco,CA,94107,1700000,2,2.0,South Beach,1497,,1916,24,1136,654,Sold,,,http://www.redfin.com/CA/San-Francisco/601-4th-St-94107/unit-121/home/12396025,San Francisco MLS,482408,N,Y,37.7781631,-122.3957778
PAST SALE,April-23-2019,Condo/Co-op,829 Folsom St #518,San Francisco,CA,94107,1268000,2,2.0,Yerba Buena,941,,2010,24,1348,822,Sold,,,http://www.redfin.com/CA/San-Francisco/829-Folsom-St-94107/unit-518/home/40142716,San Francisco MLS,482589,N,Y,37.7811548,-122.4016513
PAST SALE,January-31-2018,Condo/Co-op,156 Mary Teresa St,San Francisco,CA,94134,888000,2,2.5,Little Hollywood,1340,,2008,471,663,200,Sold,,,http://www.redfin.com/CA/San-Francisco/156-Mary-Teresa-St-94134/home/40457131,San Francisco MLS,465441,N,Y,37.7137257,-122.3988314
PAST SALE,April-3-2019,Condo/Co-op,1011 23rd St #14,San Francisco,CA,94107,1485000,2,2.5,Central Waterfront,1706,,2000,44,870,723,Sold,,,http://www.redfin.com/CA/San-Francisco/1011-23rd-St-94107/unit-14/home/12397273,San Francisco MLS,482457,N,Y,37.7550302,-122.3902514
PAST SALE,April-8-2019,Condo/Co-op,5900 3rd St #2301,San Francisco,CA,94124,815000,2,2.0,Bayview,1073,,2010,39,760,469,Sold,,,http://www.redfin.com/CA/San-Francisco/5900-3rd-St-94124/unit-2301/home/40629200,San Francisco MLS,479041,N,Y,37.7250528,-122.3951255
PAST SALE,April-19-2019,Condo/Co-op,854 Capp St #02,San Francisco,CA,94110,1550000,2,2.0,Inner Mission,,,2019,28,,287,Sold,,,http://www.redfin.com/CA/San-Francisco/854-Capp-St-94110/unit-02/home/160606495,San Francisco MLS,481957,N,Y,37.7530069,-122.417733
PAST SALE,April-30-2019,Condo/Co-op,306 Bartlett St,San Francisco,CA,94110,1350000,2,2.0,Inner Mission,1204,,1902,17,1121,487,Sold,,,http://www.redfin.com/CA/San-Francisco/306-Bartlett-St-94110/home/801826,San Francisco MLS,480848,N,Y,37.751833,-122.4198278
PAST SALE,January-25-2018,Condo/Co-op,2100 Green St #800,San Francisco,CA,94123,4800000,2,2.5,Pacific Heights,3122,,1928,477,1537,1682,Sold,,,http://www.redfin.com/CA/San-Francisco/2100-Green-St-94123/unit-800/home/12400514,San Francisco MLS,463123,N,Y,37.7965894,-122.4339807
PAST SALE,June-4-2018,Condo/Co-op,1540 Lombard St Unit F,San Francisco,CA,94123,1100000,2,1.0,Marina,866,,1947,347,1270,655,Sold,,,http://www.redfin.com/CA/San-Francisco/1540-Lombard-St-94123/unit-F/home/1987154,San Francisco MLS,470959,N,Y,37.8012322,-122.4270061
PAST SALE,August-3-2017,Condo/Co-op,2169 Green St #2,San Francisco,CA,94123,2718000,2,2.5,Pacific Heights,1800,,1900,652,1510,400,Sold,,,http://www.redfin.com/CA/San-Francisco/2169-Green-St-94123/unit-2/home/1983923,San Francisco MLS,460314,N,Y,37.7959459,-122.4347142
PAST SALE,,Condo/Co-op,3124 Laguna St,San Francisco,CA,94123,1310000,,6.0,,,,1909,,,,,,,http://www.redfin.com/CA/San-Francisco/3124-Laguna-St-94123/home/1846042,,,N,Y,37.800024,-122.430718
PAST SALE,November-12-2018,Condo/Co-op,2139 Green St Unit C,SAN FRANCISCO,CA,94123,1375000,2,2.0,SAN FRANCISCO,1030,7562,1988,186,1335,749,Sold,,,http://www.redfin.com/CA/San-Francisco/2139-Green-St-94123/unit-C/home/1617454,MLSListings,ML81725237,N,Y,37.7960983,-122.4342078
