SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Condo/Co-op,825 La Playa St #121,San Francisco,CA,94121,850000,2,2.0,,1184,,1983,,718,,,,,http://www.redfin.com/CA/San-Francisco/825-La-Playa-St-94121/unit-121/home/1368077,,,N,Y,37.7727441,-122.5102118
PAST SALE,May-15-2019,Condo/Co-op,260 King St #877,San Francisco,CA,94107,1250000,2,2.0,Mission Bay,977,,2004,2,1279,815,Sold,,,http://www.redfin.com/CA/San-Francisco/260-King-St-94107/unit-877/home/11282440,San Francisco MLS,484054,N,Y,37.7776422,-122.3934181
PAST SALE,May-3-2019,Condo/Co-op,601 Van Ness Ave #422,San Francisco,CA,94102,965000,2,2.0,Van Ness/Civic Center,1099,,1982,14,878,948,Sold,,,http://www.redfin.com/CA/San-Francisco/601-Van-Ness-Ave-94102/unit-422/home/1313241,San Francisco MLS,483183,N,Y,37.7813857,-122.4214063
PAST SALE,February-20-2019,Condo/Co-op,401 Harrison St Unit 17B,San Francisco,CA,94105,1620000,2,2.0,South Beach,1311,,2014,86,1236,1247,Sold,,,http://www.redfin.com/CA/San-Francisco/401-Harrison-St-94105/unit-17B/home/112469885,San Francisco MLS,481084,N,Y,37.7863747,-122.3919931
PAST SALE,,Condo/Co-op,566 South Van Ness Ave #27,San Francisco,CA,94110,,2,2.0,,,,2007,,,,Sold,,,http://www.redfin.com/CA/San-Francisco/566-S-Van-Ness-Ave-94110/unit-27/home/17304476,San Francisco MLS,,N,Y,37.7639917,-122.4178195
PAST SALE,April-30-2019,Condo/Co-op,612 26th Ave,San Francisco,CA,94121,1220000,2,1.0,Central Richmond,1181,,1923,17,1033,250,Sold,,,http://www.redfin.com/CA/San-Francisco/612-26th-Ave-94121/home/52059337,San Francisco MLS,482525,N,Y,37.7778452,-122.4853966
PAST SALE,April-29-2019,Condo/Co-op,228 18th Ave,San Francisco,CA,94121,846000,2,1.0,Central Richmond,1105,,1907,18,766,,Sold,,,http://www.redfin.com/CA/San-Francisco/228-18th-Ave-94121/home/143105807,San Francisco MLS,480972,N,Y,37.7836592,-122.4774868
PAST SALE,May-8-2019,Condo/Co-op,480 Mission Bay Blvd #1007,San Francisco,CA,94158,1800000,2,2.0,Mission Bay,1576,,2012,9,1142,848,Sold,,,http://www.redfin.com/CA/San-Francisco/480-Mission-Bay-Blvd-N-94158/unit-1007/home/40626134,San Francisco MLS,483594,N,Y,37.7715936,-122.3885893
PAST SALE,April-5-2019,Condo/Co-op,369 18th Ave #410,San Francisco,CA,94121,1140000,2,1.5,Central Richmond,948,,2018,42,1203,532,Sold,,,http://www.redfin.com/CA/San-Francisco/369-18th-Ave-94121/unit-410/home/147885800,San Francisco MLS,479887,N,Y,37.7806384,-122.4774286
PAST SALE,March-20-2019,Condo/Co-op,369 18th Ave #202,San Francisco,CA,94121,1131000,2,1.0,Central Richmond,1047,,2018,58,1080,550,Sold,,,http://www.redfin.com/CA/San-Francisco/369-18th-Ave-94121/unit-202/home/160361604,San Francisco MLS,480719,N,Y,37.7812129,-122.4775788
